number,description
01224002170,"Life Insurance Scam"
01234987442,"Survey Company"
01269839047,"Random Scams"
01312855011,"Beer 52 Cold Call"
01482483281,"Wescot/HMRC scam/Call"
01615443874,"Random Number"
01892500769,"Road Accident Scam"
02039897136,"Random Scam"
02045114804,"Mobile Phone company scam"
02079460370,"Cash4Accidents Scam"
02079461377,"Road Accident Scam"
02080893478,"Mobile Phone company scam"
02081235006,"Unknown Random Number"
02394008571,"Loft Insulation Sales"
02922711118,"Mobile Phone company scam"
08080996746,"Mobile Phone Company Scam"
08453411000,"Debts Scam"
08453411001,"Road Accident Scam"
08454290038,"Life Insurance Scam"
08454290081,"Prize Scam"
