01213922798, "Multiple scams"
01224002170, "Life Insurance Scam"
01234, "test"
01234987442, "Survey Company"
01244267253, "Another Scam"
01269839047, "Random Scams"
01312855011, "Beer 52 Cold Call"
01482483281, "Wescot"
01513054923, "Ebay Scam"
01513293649, "eBay Debt Scam"
01615443874, "Random Number"
01892500769, "Road Accident Scam"
01916076723, "Lotto Scam"
02038960111, "Loft Insulation Scam"
02039897136, "Random Scam"
02045114804, "Mobile Phone company scam"
02045865717, "Nuisance Call"
02076601330, "Google Scam"
02079460370, "Cash4Accidents Scam"
02079461377, "Road Accident Scam"
02080893478, "Mobile Phone company scam"
02080893535, "Bitcoin Scam"
02081235006, "Unknown Random Number"
02394008571, "Loft Insulation Sales"
02890028497, "Marketing"
02922711118, "Mobile Phone company scam"
08080996746, "Mobile Phone Company Scam"
08453411000, "Debts Scam"
08453411001, "Road Accident Scam"
08454290038, "Life Insurance Scam"
08454290081, "Prize Scam"
